ID,Target
1,TVProgram-Play
2,HomeAppliance-Control
3,Audio-Play
4,Alarm-Update
5,HomeAppliance-Control
6,FilmTele-Play
7,FilmTele-Play
8,Music-Play
9,Calendar-Query
10,Video-Play
11,Alarm-Update
12,Music-Play
13,Travel-Query
14,TVProgram-Play
15,Radio-Listen
16,Alarm-Update
17,Video-Play
18,Weather-Query
19,Weather-Query
20,FilmTele-Play
21,Video-Play
22,FilmTele-Play
23,Weather-Query
24,Weather-Query
25,Weather-Query
26,Other
27,FilmTele-Play
28,Video-Play
29,Music-Play
30,Alarm-Update
31,Other
32,Music-Play
33,Radio-Listen
34,Video-Play
35,Radio-Listen
36,Video-Play
37,Video-Play
38,Video-Play
39,Video-Play
40,Video-Play
41,Weather-Query
42,Radio-Listen
43,HomeAppliance-Control
44,Music-Play
45,Audio-Play
46,Calendar-Query
47,Alarm-Update
48,FilmTele-Play
49,FilmTele-Play
50,Travel-Query
51,Travel-Query
52,FilmTele-Play
53,Weather-Query
54,FilmTele-Play
55,Radio-Listen
56,Calendar-Query
57,Radio-Listen
58,Travel-Query
59,Music-Play
60,Weather-Query
61,Weather-Query
62,FilmTele-Play
63,FilmTele-Play
64,Video-Play
65,TVProgram-Play
66,Radio-Listen
67,Video-Play
68,Other
69,Video-Play
70,FilmTele-Play
71,Music-Play
72,FilmTele-Play
73,Other
74,Radio-Listen
75,Alarm-Update
76,Audio-Play
77,Video-Play
78,Travel-Query
79,Video-Play
80,Music-Play
81,FilmTele-Play
82,Travel-Query
83,Music-Play
84,HomeAppliance-Control
85,FilmTele-Play
86,Video-Play
87,Travel-Query
88,Calendar-Query
89,Weather-Query
90,Music-Play
91,Travel-Query
92,Alarm-Update
93,FilmTele-Play
94,Video-Play
95,Music-Play
96,Weather-Query
97,Calendar-Query
98,Radio-Listen
99,Audio-Play
100,Radio-Listen
101,Other
102,Video-Play
103,Music-Play
104,Video-Play
105,Audio-Play
106,Alarm-Update
107,Radio-Listen
108,Weather-Query
109,Weather-Query
110,Weather-Query
111,Audio-Play
112,Audio-Play
113,HomeAppliance-Control
114,Alarm-Update
115,Video-Play
116,FilmTele-Play
117,Other
118,TVProgram-Play
119,Calendar-Query
120,Video-Play
121,Radio-Listen
122,Alarm-Update
123,Calendar-Query
124,Music-Play
125,TVProgram-Play
126,TVProgram-Play
127,Travel-Query
128,Audio-Play
129,Alarm-Update
130,Video-Play
131,Calendar-Query
132,Radio-Listen
133,Alarm-Update
134,Video-Play
135,Audio-Play
136,Video-Play
137,Weather-Query
138,Music-Play
139,Music-Play
140,Music-Play
141,Travel-Query
142,Video-Play
143,FilmTele-Play
144,Alarm-Update
145,TVProgram-Play
146,Calendar-Query
147,HomeAppliance-Control
148,Alarm-Update
149,Video-Play
150,Alarm-Update
151,Video-Play
152,Weather-Query
153,Music-Play
154,HomeAppliance-Control
155,Radio-Listen
156,Calendar-Query
157,Video-Play
158,Video-Play
159,FilmTele-Play
160,Video-Play
161,Radio-Listen
162,Alarm-Update
163,FilmTele-Play
164,Audio-Play
165,HomeAppliance-Control
166,Radio-Listen
167,FilmTele-Play
168,Music-Play
169,Travel-Query
170,Calendar-Query
171,Alarm-Update
172,HomeAppliance-Control
173,Radio-Listen
174,Alarm-Update
175,Alarm-Update
176,Weather-Query
177,Calendar-Query
178,HomeAppliance-Control
179,Alarm-Update
180,Video-Play
181,Other
182,Alarm-Update
183,Alarm-Update
184,HomeAppliance-Control
185,Audio-Play
186,HomeAppliance-Control
187,Weather-Query
188,Audio-Play
189,Music-Play
190,Calendar-Query
191,FilmTele-Play
192,Video-Play
193,Calendar-Query
194,TVProgram-Play
195,Calendar-Query
196,Other
197,Music-Play
198,Radio-Listen
199,HomeAppliance-Control
200,Calendar-Query
201,TVProgram-Play
202,Music-Play
203,Radio-Listen
204,FilmTele-Play
205,HomeAppliance-Control
206,Alarm-Update
207,Alarm-Update
208,FilmTele-Play
209,Travel-Query
210,Calendar-Query
211,Alarm-Update
212,Radio-Listen
213,Music-Play
214,HomeAppliance-Control
215,Radio-Listen
216,Alarm-Update
217,HomeAppliance-Control
218,FilmTele-Play
219,Alarm-Update
220,FilmTele-Play
221,Weather-Query
222,Travel-Query
223,Radio-Listen
224,Music-Play
225,Calendar-Query
226,Other
227,Other
228,Radio-Listen
229,Radio-Listen
230,TVProgram-Play
231,Video-Play
232,Travel-Query
233,Travel-Query
234,Radio-Listen
235,Alarm-Update
236,FilmTele-Play
237,Audio-Play
238,Radio-Listen
239,Alarm-Update
240,Radio-Listen
241,Alarm-Update
242,Music-Play
243,Weather-Query
244,Video-Play
245,Video-Play
246,FilmTele-Play
247,Video-Play
248,FilmTele-Play
249,TVProgram-Play
250,Audio-Play
251,Music-Play
252,Alarm-Update
253,Alarm-Update
254,Travel-Query
255,Radio-Listen
256,FilmTele-Play
257,TVProgram-Play
258,Alarm-Update
259,Alarm-Update
260,Radio-Listen
261,Travel-Query
262,Music-Play
263,Audio-Play
264,FilmTele-Play
265,FilmTele-Play
266,Video-Play
267,Other
268,Audio-Play
269,HomeAppliance-Control
270,Weather-Query
271,Alarm-Update
272,Video-Play
273,Radio-Listen
274,Travel-Query
275,Audio-Play
276,HomeAppliance-Control
277,HomeAppliance-Control
278,Radio-Listen
279,Alarm-Update
280,Music-Play
281,Music-Play
282,FilmTele-Play
283,Travel-Query
284,Music-Play
285,Weather-Query
286,FilmTele-Play
287,Music-Play
288,Other
289,Travel-Query
290,Weather-Query
291,TVProgram-Play
292,Alarm-Update
293,Music-Play
294,Video-Play
295,Other
296,Calendar-Query
297,Video-Play
298,Video-Play
299,Radio-Listen
300,HomeAppliance-Control
301,Radio-Listen
302,Weather-Query
303,Video-Play
304,Other
305,Alarm-Update
306,FilmTele-Play
307,Travel-Query
308,Travel-Query
309,Radio-Listen
310,Video-Play
311,Radio-Listen
312,Weather-Query
313,Music-Play
314,Video-Play
315,FilmTele-Play
316,Weather-Query
317,FilmTele-Play
318,Calendar-Query
319,Travel-Query
320,TVProgram-Play
321,Audio-Play
322,TVProgram-Play
323,Calendar-Query
324,Audio-Play
325,HomeAppliance-Control
326,FilmTele-Play
327,HomeAppliance-Control
328,FilmTele-Play
329,HomeAppliance-Control
330,Other
331,Radio-Listen
332,Radio-Listen
333,Alarm-Update
334,FilmTele-Play
335,HomeAppliance-Control
336,Alarm-Update
337,HomeAppliance-Control
338,Video-Play
339,Music-Play
340,FilmTele-Play
341,Radio-Listen
342,Video-Play
343,Other
344,Audio-Play
345,Calendar-Query
346,HomeAppliance-Control
347,FilmTele-Play
348,HomeAppliance-Control
349,Calendar-Query
350,Radio-Listen
351,HomeAppliance-Control
352,FilmTele-Play
353,Radio-Listen
354,Audio-Play
355,Alarm-Update
356,Weather-Query
357,HomeAppliance-Control
358,Video-Play
359,Video-Play
360,Calendar-Query
361,Radio-Listen
362,FilmTele-Play
363,Travel-Query
364,Radio-Listen
365,Video-Play
366,Other
367,Radio-Listen
368,FilmTele-Play
369,Radio-Listen
370,Audio-Play
371,Weather-Query
372,Radio-Listen
373,FilmTele-Play
374,Radio-Listen
375,FilmTele-Play
376,Other
377,HomeAppliance-Control
378,FilmTele-Play
379,Weather-Query
380,Travel-Query
381,Travel-Query
382,Radio-Listen
383,Travel-Query
384,HomeAppliance-Control
385,Music-Play
386,Radio-Listen
387,Weather-Query
388,FilmTele-Play
389,Radio-Listen
390,Audio-Play
391,Music-Play
392,Travel-Query
393,Audio-Play
394,Alarm-Update
395,TVProgram-Play
396,Audio-Play
397,FilmTele-Play
398,Calendar-Query
399,Weather-Query
400,Other
401,Audio-Play
402,HomeAppliance-Control
403,Music-Play
404,Alarm-Update
405,Radio-Listen
406,Video-Play
407,Music-Play
408,TVProgram-Play
409,Calendar-Query
410,Music-Play
411,Music-Play
412,Music-Play
413,Video-Play
414,Calendar-Query
415,Audio-Play
416,Alarm-Update
417,Alarm-Update
418,Alarm-Update
419,Radio-Listen
420,Audio-Play
421,Music-Play
422,TVProgram-Play
423,Calendar-Query
424,Video-Play
425,Radio-Listen
426,Music-Play
427,Radio-Listen
428,Radio-Listen
429,Music-Play
430,Video-Play
431,Alarm-Update
432,Video-Play
433,Travel-Query
434,HomeAppliance-Control
435,Music-Play
436,Video-Play
437,Calendar-Query
438,Weather-Query
439,Alarm-Update
440,Calendar-Query
441,Music-Play
442,FilmTele-Play
443,Other
444,Alarm-Update
445,Weather-Query
446,Video-Play
447,Alarm-Update
448,HomeAppliance-Control
449,Audio-Play
450,Radio-Listen
451,Music-Play
452,Radio-Listen
453,Radio-Listen
454,Video-Play
455,TVProgram-Play
456,Video-Play
